"id","Plu","Type","Category","Commodity","Variety","Size","Measures_na","Measures_row","Restrictions","Botanical","Aka","Status","Link","Notes","Updated_by","Updated_at","Created_at","Deleted_at","Language","consumer_usage_tier"
"33","3032","Global","Fruits","TANGERINES/MANDARINS","Ellendale","All Sizes","","","This code can be used anyplace in the globe; however, there are other codes for this item that can be used outside of North America.","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"34","3033","Global","Fruits","MELON","Charentais","Small","","Average Fruit Weight =  less than 625g","","Cucumis melo","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"35","3034","Global","Fruits","MELON","Charentais","Large","","Average Fruit Weight =  625g and above","","Cucumis melo","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"36","3035","Global","Fruits","NECTARINE","White Flesh, Tree Ripened, Ready-to-eat","Large","66 size and larger","Average Fruit Weight =  185g and above","","Prunus persica","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","High"
"37","3036","Global","Fruits","ORANGES","Midknight","Small","113 size and smaller","Average Fruit Dimensions = less than 66mm","","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"38","3037","Global","Fruits","PINEAPPLE","Queen","All Sizes","","","Sizes for pineapple based on two-layer lug.","Ananas comosus","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"39","3038","Global","Fruits","PASSION FRUIT","Granadilla, Orange","All Sizes","","","","Passiflorae.var. flavicarpa","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"40","3039","Global","Fruits","PHYSALIS/CAPE GOOSEBERRY/GROUND CHERRY","","All Sizes","","","","Physalis spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"41","3040","Global","Fruits","PITAHAYA","Red (skin color)","All Sizes","","","","Hylocereus lindatus","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"42","3041","Global","Fruits","RAMBUTAN","","All Sizes","","","","Nephelium lappaceum","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"43","3042","Global","Fruits","MANGOSTEEN","","All Sizes","","","","Garcinia mangostana","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"44","3043","Global","Fruits","GRAPES","Italia, Seeded","All Sizes","","","","Vitis vinifera","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"45","3044","Global","Fruits","APRICOTS","Black Velvet"," All Sizes ","","","","Prunus armeniaca","","Approved","http://","","Wendy Logan","2023-12-19 19:08:54","2006-11-14 23:00:00","","EN","Low"
"46","3045","Global","Fruits","DATES","Fresh, On Branch","All Sizes","","","","Phoenix dactylifera","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"47","3046","Global","Fruits","DATES","Fresh, Frozen","All Sizes","","","","Phoenix dactylifera","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"48","3047","Global","Fruits","DATES","Medjool","All Sizes","","","","Phoenix dactylifera","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"49","3048","Global","Vegetables","BEANS","Helda/Flat","All Sizes","","","","Phaseolus vulgaris","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"50","3049","Global","Vegetables","BEANS","Fine","All Sizes","","","","Phaseolus vulgaris","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"51","3050","Global","Vegetables","CABBAGE","Dutch White/Winter White","All Sizes","","","","Brassica oleracea","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","High"
"52","3051","Global","Vegetables","CABBAGE","Spring Cabbage/Spring Greens","All Sizes","","","","Brassica oleracea","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"53","3052","Global","Vegetables","GARLIC","String","All Sizes","","","","Allium sativum","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"54","3053","Global","Vegetables","PARSNIP","Baby","All Sizes","","","","Pastinaca sativa","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"55","3054","Global","Vegetables","PEPPERS (CAPSICUMS)","Elongated (Clovis Red/Lamuyo Red)","All Sizes","","","","Capsicum spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"56","3055","Global","Vegetables","PEPPERS (CAPSICUMS)","Elongated (Clovis Green/Lamuyo Green)","All Sizes","","","","Capsicum spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"57","3056","Global","Vegetables","PEPPERS (CAPSICUMS)","Elongated (Clovis Yellow/Lamuyo Yellow)","All Sizes","","","","Capsicum spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"58","3057","Global","Vegetables","PEPPERS (CAPSICUMS)","Elongated (Clovis Orange/Lamuyo Orange)","All Sizes","","","","Capsicum spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"59","3058","Global","Vegetables","PEPPERS (CAPSICUMS)","Elongated (Clovis White/Lamuyo White)","All Sizes","","","","Capsicum spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"60","3059","Global","Vegetables","SQUASH","Crown Prince","All Sizes","","","","C.maxima","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"61","3060","Global","Vegetables","SQUASH","Vegetable Marrow","All Sizes","","","","C.pepo","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"62","3061","Global","Vegetables","TOMATOES","Beef/Beefsteak","All Sizes","","","","Lycopersicon esculenta","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","High"
"63","3062","Global","Herbs","BAY LEAVES","","All Sizes ","","","","Laurus nobilis","","Approved","","","Christina D'allarco","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","High"
"64","3063","Global","Herbs","FENNEL LEAVES","","All Sizes","","","","Foeniculum vulgare","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"65","3064","Global","Herbs","ALOE VERA LEAVES","","All Sizes","","","","Aloe Vera","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"66","3065","Global","Fruits","APPLES","Cameo"," Small ","100 size and smaller","Average Fruit Weight = less than 205g","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"67","3066","Global","Fruits","APPLES","Cameo"," Large ","88 size and larger","Average Fruit Weight = 205g and above","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"68","3067","Global","Fruits","APPLES","Swiss Gourmet"," Small ","100 size and smaller","Average Fruit Weight = less than 205g","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"69","3068","Global","Fruits","APPLES","Swiss Gourmet"," Large ","88 size and larger","Average Fruit Weight = 205g and above","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"70","3069","Global","Fruits","APPLES","Gravenstein, Red"," Small ","100 size and smaller","Average Fruit Weight = less than 205g","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"71","3070","Global","Fruits","APPLES","Gravenstein, Red","  Large  ","88 size and larger","Average Fruit Weight = 205g and above","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"72","3071","Global","Fruits","APPLES","Granny Smith, Red"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"73","3072","Global","Fruits","APPLES","Lady"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"74","3073","Global","Fruits","APPLES","Macoun"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"75","3074","Global","Fruits","APPLES","Greening (RI)"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"76","3075","Global","Fruits","APPLES","Baldwin"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"77","3076","Global","Fruits","APPLES","Melrose"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"78","3077","Global","Fruits","APPLES","Northern Spy"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"79","3078","Global","Fruits","APPLES","Liberty"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"80","3079","Global","Vegetables","ASPARAGUS","Purple","All Sizes","","","This code can be used anyplace in the globe; however, there are other codes for this item that can be used outside of North America.","Asparagus officinalis","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"81","3080","Global","Fruits","AVOCADOS","Pinkerton","All Sizes","","","","Persea americana","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"82","3081","Global","Fruits","BERRIES","Saskatoon","All Sizes","","","","Amelanchier alnifolia","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"83","3082","Global","Vegetables","BROCCOLI","Crowns","All Sizes","","","","Brassica oleracea","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"84","3083","Global","Vegetables","BRUSSELS SPROUTS","Stalk","All Sizes","","","","Brassica olerace","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"85","3084","Global","Herbs","CHERVIL","","All Sizes","","","","Anthriscus cerefolium","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"86","3085","Global","Vegetables","CORN","Indian, Decorative","Large","","","","Zea mays","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"87","3086","Global","Vegetables","CORN","Indian. Decorative","Mini","","","","Zea mays","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"88","3087","Global","Vegetables","CORN","Indian, Strawberry","All Sizes","","","","Zea mays","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"89","3088","Global","Fruits","CURRANTS","Red","All Sizes","","","","Ribes sativum","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"90","3089","Global","Vegetables","EGGPLANT (AUBERGINE)","Chinese","All Sizes","","","","Solanum melongena","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"91","3090","Global","Vegetables","EGGPLANT (AUBERGINE)","Thai","All Sizes","","","","Solanum melongena","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"92","3091","Global","Vegetables","GOBO ROOT/BURDOCK","","All Sizes","","","","Arctium lappa","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"93","3092","Global","Fruits","GRAPEFRUIT","OroBlanco/Sweetie","All Sizes","","","","Citrus paradisi","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"94","3093","Global","Fruits","GRAPES","Retailer Assigned","All Sizes","","","","Vitis vinifera","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"95","3094","Global","Fruits","GRAPES","Retailer Assigned","All Sizes","","","","Vitis vinifera","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"96","3095","Global","Vegetables","KALE","Multicolor","All Sizes","","","","Brassica oleracea","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2003-10-28 23:00:00","","EN","Medium"
"97","3096","Global","Vegetables","KOHLRABI","Purple/Red/All Other Colors","All Sizes","","","","Brassica oleracea","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"98","3097","Global","Vegetables","LETTUCE","Romaine, Red","All Sizes","","","","Lactuca sativa","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"99","3098","Global","Vegetables","LETTUCE","Boston, Red","All Sizes","","","","Lactuca sativa","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"100","3099","Global","Vegetables","LOTUS ROOT","","All Sizes","","","","Nelumbo nucifera","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"101","3100","Global","Fruits","MELON","Gold Honeydew","All Sizes","","","","Cucumis melo","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"102","3101","Global","Fruits","MELON","Piel de Sapo","All Sizes","","","","Cucumis melo","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"103","3102","Global","Vegetables","MUSHROOMS","Morel","All Sizes ","","","","Morchella angusticeps","","Approved","","","Christina D'allarco","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"104","3103","Global","Vegetables","MUSHROOMS","Enoki","All Sizes","","","","Flammulina velutipe","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"105","3104","Global","Fruits","APPLES","RoHo 3615"," All Sizes  ","","","","Malus domestica","Evelina","Approved","http://","","Netsetters Admin","2023-12-19 19:08:55","2012-12-10 23:00:00","","EN","Low"
"106","3105","Global","Nuts","CASHEWS","","All Sizes","","","","Anacardium occidental","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"107","3106","Global","Nuts","MACADAMIA","","All Sizes","","","","Macadamia integrifolia","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"108","3107","Global","Fruits","ORANGES","Navel","Medium","88/72 size","Average Fruit Dimensions = 66mm - under 84mm","","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"109","3108","Global","Fruits","ORANGES","Valencia","Medium","88/72 size","Average Fruit Dimensions = 66mm - under 84mm","","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"110","3109","Global","Fruits","ORANGES","Seville (Marmalade type)","All Sizes","","","","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"111","3110","Global","Fruits","ORANGES","Navel, Cara Cara (Red)","All Sizes","","","","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"112","3111","Global","Fruits","PAPAYA/PAWPAW","Red-Fleshed (Solo Sunrise)","All Sizes","","","","Carica papaya","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"113","3112","Global","Fruits","PAPAYA/PAWPAW","Meridol","All Sizes","","","","Carica papaya","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"114","3113","Global","Fruits","PEACHES","Flat White Flesh (Saturn type)"," All Sizes ","","","","Prunus persica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2008-11-25 23:00:00","","EN","Medium"
"115","3114","Global","Fruits","MANGO","Green","Extra Large","7 size and larger","","","Magnifera Indica","Keitt and Francis varieties","Approved","","","Vicki Bonvetti","2023-12-19 19:08:55","2008-11-25 23:00:00","","EN","Medium"
"116","3115","Global","Fruits","PEACHES","Flat Yellow Flesh"," All Sizes ","","","","Prunus persica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2008-11-25 23:00:00","","EN","Medium"
"117","3116","Global","Fruits","PEACHES","Yellow Flesh (Tree Ripened/Ready-to-eat)"," Small ","70 size and smaller","Average Fruit Weight =  less than 185g","Restricted for items grown east of the Mississippi River in the U.S. or east of the Ontario/Manitoba border in Canada.","Prunus persica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"118","3117","Global","Fruits","PEACHES","Yellow Flesh (Tree Ripened/Ready-to-eat)"," Large ","66 size and larger","Average Fruit Weight =  185g and above","Restricted for items grown east of the Mississippi River in the U.S. or east of the Ontario/Manitoba border in Canada.","Prunus persica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"119","3118","Global","Fruits","PEARS","Starkrimson","All Sizes","","","","Pyrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"120","3119","Global","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse - Green","Small","med. size and smaller","Min diameter less than 65mm","","Capsicum spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"121","3120","Global","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse - Green","Large","large size and larger","Min diameter 65mm and above","","Capsicum spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"122","3121","Global","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse - Orange","All Sizes","","","","Capsicum spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"123","3122","Global","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse - White","All Sizes","","","","Capsicum spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"124","3123","Global","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse - Brown","All Sizes","","","","Capsicum spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"125","3124","Global","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse - Purple","All Sizes","","","","Capsicum spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"126","3125","Global","Vegetables","PEPPERS (CAPSICUMS)","Habanero","All Sizes","","","","Capsicum spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"127","3126","Global","Fruits","PLUMCOT (INTERSPECIFIC PLUM)","Retailer Assigned","All Sizes","","","","Prunus armeniaca hybrid","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2008-06-02 22:00:00","","EN","Medium"
"128","3127","Global","Fruits","POMEGRANATE","","Medium","30 to 36 size","Average Fruit Dimensions = 3.375 - 3.875 inch","","Punica granatum","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2007-10-29 23:00:00","","EN","High"
"129","3129","Global","Fruits","GRAPEFRUIT","Pummelo - Red","All Sizes","","","","C.grandis","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"130","3130","Global","Vegetables","PUMPKIN","Jumbo","All Sizes","","","","Cucurbita pepo","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"131","3131","Global","Vegetables","PUMPKIN","Decorative (Painted)","All Sizes","","","","Cucurbita pepo","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"132","3132","Global","Vegetables","PUMPKIN","White","All Sizes","","","","Cucurbita pepo","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
"133","3133","Global","Vegetables","PUMPKIN","White - Mini","All Sizes","","","","Cucurbita pepo","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Low"
